,Kingdom,Phylum,Class,Order,Family,Genus,Species
5567a02661c0553b865b9fb1b28c381a,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Monilinia,NA
e1bc37c3266cde99bb0311e1c655a13f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
859019e7561f55837fe51d57561492c2,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__unidentified,s__unidentified
0e21a45d06aeed51a04d5d87467291ab,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
904efa174d13384057fc23cf220d3974,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Sclerostagonospora,s__Sclerostagonospora_opuntiae
1e2daced7078f1c35f7113cd51d76423,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
1abe46a1671755bc4d60c2e24cfc842c,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
4a3072418641ffae3072e7934ea1a509,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,NA,NA
ece0c95d4eab9c4fb90c15b47b27983f,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,NA,NA,NA
0b27b192ae317cdce35dbd3a194d3fd6,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
b54219e469820ebc2af07cae701a1322,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,NA,NA,NA
7e10cab6654cefb554d968087582eea6,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__Operculomyces_laminatus
1c26561d687ce7b035e0c83803ff1392,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Ramalinaceae,NA,NA
ca6691285b26cb67f8522c47a01aacd6,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Stereaceae,g__Stereum,NA
94ea0c7f0aa25197b5cfdd4ef840a6c5,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__unidentified,g__unidentified,s__unidentified
2c6a1957dadf972c6622dd9f5444b799,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,g__Farlowiella,s__Farlowiella_carmichaeliana
9ac8bd9151ad3eeacc630e8695eae4ca,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
9634883fbcc6cd0446fe1c987e3f36f2,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__unidentified
